spec	outcome	pass	fail	error	pending	executed	ctl_pass	ctl_fail	blocker_class	first_blocker	hang_at	oxvimhost_pass	oxvimhost_fail
legacy/assert_spec.lua	partial	1	16	0	0	17	17	0	protocol	API not implemented via nvim_exec2		0	17
legacy/autochdir_spec.lua	zero-pass	0	5	0	0	5	5	0	editor	Not implemented: expand		0	5
legacy/autocmd_option_spec.lua	zero-pass	0	37	0	0	37	37	0	protocol	API not implemented via nvim_exec2		0	37
legacy/autocmd_spec.lua	zero-pass	0	4	0	0	4	4	0	protocol	API not implemented via nvim_exec2		0	4
legacy/autoformat_join_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E715: Dictionary required		0	1
legacy/breakindent_spec.lua	zero-pass	0	2	0	0	2	2	0	protocol	screen: nvim_get_color_map not implemented		0	2
legacy/changelist_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E600: Missing :endtry		0	1
legacy/charsearch_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: getcharsearch		0	1
legacy/close_count_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E170: Missing :endfor		0	1
legacy/cmdline_spec.lua	zero-pass	0	15	0	0	15	15	0	protocol	screen: nvim_get_color_map not implemented		0	15
legacy/command_count_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/comparators_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E488: Trailing characters: is#<n> (byte <n>)		0	1
legacy/conceal_spec.lua	zero-pass	0	14	0	0	14	14	0	protocol	screen: nvim_get_color_map not implemented		0	14
legacy/cpoptions_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	screen: nvim_get_color_map not implemented		0	1
legacy/crash_spec.lua	partial	4	3	0	0	7	7	0	editor	E474: Invalid argument: p		0	7
legacy/debugger_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	screen: nvim_get_color_map not implemented		0	1
legacy/delete_spec.lua	zero-pass	0	5	0	0	5	5	0	editor	Not implemented: readfile		0	5
legacy/digraph_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	screen: nvim_get_color_map not implemented		0	1
legacy/display_spec.lua	zero-pass	0	9	0	0	9	9	0	protocol	screen: nvim_get_color_map not implemented		0	9
legacy/edit_spec.lua	zero-pass	0	4	0	0	4	4	0	editor	assert eq: values differ		0	4
legacy/erasebackword_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/eval_spec.lua	zero-pass	0	22	0	0	22	22	0	editor	E121: Undefined variable: @<x>abc'		0	1
legacy/ex_mode_spec.lua	zero-pass	0	6	0	0	6	6	0	protocol	screen: nvim_get_color_map not implemented		0	6
legacy/excmd_spec.lua	zero-pass	0	5	0	0	5	5	0	protocol	screen: nvim_get_color_map not implemented		0	5
legacy/fixeol_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/fnamemodify_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/fold_spec.lua	zero-pass	0	9	0	0	9	9	0	protocol	screen: nvim_get_color_map not implemented		0	9
legacy/function_sort_spec.lua	partial	5	1	0	0	6	6	0	protocol	API not implemented via nvim_exec2		0	6
legacy/getcwd_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/gf_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/glob2regpat_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	Not implemented: glob<n>regpat		0	2
legacy/global_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	screen: nvim_get_color_map not implemented		0	1
legacy/highlight_spec.lua	zero-pass	0	2	0	0	2	2	0	protocol	screen: nvim_get_color_map not implemented		0	2
legacy/insertcount_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/join_spec.lua	zero-pass	0	5	0	0	5	5	0	editor	Not implemented: getline		0	5
legacy/lispwords_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/listchars_spec.lua	zero-pass	0	3	0	0	3	3	0	protocol	API not implemented via nvim_exec2		0	3
legacy/listlbr_spec.lua	zero-pass	0	5	0	0	5	5	0	editor	E521: Number required after =: ^E		0	5
legacy/listlbr_utf8_spec.lua	zero-pass	0	3	0	0	3	3	0	protocol	API not implemented via nvim_exec2		0	3
legacy/mapping_spec.lua	partial	1	9	0	0	10	10	0	editor	not implemented: inoreabbrev		0	10
legacy/marks_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	E492: Not an editor command: :/^\t/+<n>		0	2
legacy/match_spec.lua	zero-pass	0	4	0	0	4	4	0	protocol	screen: nvim_get_color_map not implemented		0	4
legacy/matchparen_spec.lua	zero-pass	0	7	0	0	7	7	0	protocol	screen: nvim_get_color_map not implemented		0	7
legacy/memory_usage_spec.lua	partial	2	1	0	0	3	3	0	protocol	API not implemented via nvim_exec2		0	1
legacy/messages_spec.lua	zero-pass	0	17	0	0	17	17	0	protocol	screen: nvim_get_color_map not implemented		0	17
legacy/mksession_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: mksession		0	1
legacy/move_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	screen: nvim_get_color_map not implemented		0	1
legacy/nested_function_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/normal_spec.lua	zero-pass	0	4	0	0	4	3	0	protocol	screen: nvim_get_color_map not implemented		0	4
legacy/number_spec.lua	zero-pass	0	4	0	0	4	4	0	protocol	screen: nvim_get_color_map not implemented		0	4
